1/1/2023,98
1/2/2023,44
1/3/2023,99
1/4/2023,94
1/5/2023,100
1/6/2023,98
1/7/2023,93
1/8/2023,0
1/9/2023,35
1/10/2023,15
1/11/2023,3
1/12/2023,78
1/13/2023,30
1/14/2023,38
1/15/2023,68
1/16/2023,17
1/17/2023,6
1/18/2023,62
1/19/2023,74
1/20/2023,97
1/21/2023,86
1/22/2023,31
1/23/2023,40
1/24/2023,8
1/25/2023,98
1/26/2023,85
1/27/2023,45
1/28/2023,4
1/29/2023,64
1/30/2023,42
1/31/2023,28
2/1/2023,56
2/2/2023,73
2/3/2023,43
2/4/2023,86
2/5/2023,59
2/6/2023,52
2/7/2023,43
2/8/2023,46
2/9/2023,19
2/10/2023,20
2/11/2023,100
2/12/2023,76
2/13/2023,20
2/14/2023,69
2/15/2023,82
2/16/2023,83
2/17/2023,30
2/18/2023,67
2/19/2023,79
2/20/2023,29
2/21/2023,50
2/22/2023,36
2/23/2023,24
2/24/2023,60
2/25/2023,91
2/26/2023,63
2/27/2023,39
2/28/2023,23
3/1/2023,94
3/2/2023,3
3/3/2023,37
